country,iso3,average,min score,max score
Afghanistan,AFG,13.6,8.0,19.0
Angola,AGO,21.7,15.0,29.0
Albania,ALB,35.2,31.0,39.0
United Arab Emirates,ARE,69.5,66.0,71.0
Argentina,ARG,37.5,32.0,45.0
Armenia,ARM,38.5,33.0,49.0
Australia,AUS,78.5,73.0,85.0
Austria,AUT,73.9,69.0,77.0
Azerbaijan,AZE,28.9,25.0,31.0
Burundi,BDI,19.7,17.0,22.0
Belgium,BEL,75.4,73.0,77.0
Benin,BEN,38.7,36.0,42.0
Burkina Faso,BFA,39.9,38.0,42.0
Bangladesh,BGD,26.1,25.0,28.0
Bulgaria,BGR,42.1,41.0,44.0
Bahrain,BHR,44.0,36.0,51.0
Bahamas,BHS,60.0,0.0,71.0
Bosnia and Herzegovina,BIH,38.2,35.0,42.0
Belarus,BLR,38.4,29.0,47.0
Bolivia,BOL,32.4,29.0,35.0
Brazil,BRA,38.9,35.0,43.0
Barbados,BRB,61.3,0.0,76.0
Brunei Darussalam,BRN,41.8,0.0,63.0
Bhutan,BTN,66.0,63.0,68.0
Botswana,BWA,61.3,55.0,65.0
Central African Republic,CAF,24.3,20.0,26.0
Canada,CAN,80.2,74.0,84.0
Switzerland,CHE,85.3,84.0,86.0
Chile,CHL,68.7,66.0,73.0
China,CHN,40.0,36.0,45.0
Cote d'Ivoire,CIV,33.2,27.0,36.0
Cameroon,CMR,25.8,25.0,27.0
Democratic Republic of the Congo,COD,20.4,18.0,22.0
Congo,COG,21.3,19.0,26.0
Colombia,COL,37.1,36.0,39.0
Comoros,COM,25.2,20.0,28.0
Cabo Verde,CPV,57.5,55.0,60.0
Costa Rica,CRI,56.0,53.0,59.0
Cuba,CUB,46.9,46.0,48.0
Cyprus,CYP,59.2,53.0,66.0
Czech Republic,CZE,53.9,48.0,59.0
Germany,DEU,79.9,78.0,81.0
Djibouti,DJI,31.9,27.0,36.0
Dominica,DMA,51.2,0.0,59.0
Denmark,DNK,89.3,87.0,92.0
Dominican Republic,DOM,30.2,28.0,33.0
Algeria,DZA,34.8,33.0,36.0
Ecuador,ECU,34.2,31.0,39.0
Egypt,EGY,33.9,32.0,37.0
Eritrea,ERI,20.9,18.0,25.0
Spain,ESP,60.0,57.0,65.0
Estonia,EST,70.8,64.0,75.0
Ethiopia,ETH,34.9,33.0,39.0
Finland,FIN,87.6,85.0,90.0
Fiji,FJI,5.5,0.0,55.0
France,FRA,70.1,69.0,72.0
Gabon,GAB,33.0,30.0,37.0
United Kingdom,GBR,78.4,74.0,82.0
Georgia,GEO,54.3,49.0,58.0
Ghana,GHA,43.7,40.0,48.0
Guinea,GIN,26.2,24.0,29.0
Gambia,GMB,32.3,26.0,37.0
Guinea Bissau,GNB,18.7,16.0,25.0
Equatorial Guinea,GNQ,12.1,0.0,20.0
