,country,iso3,region,year,score,rank,sources,standardError
1760,Viet Nam,VNM,AP,2021,39.0,87.0,8.0,0.82
1761,Vietnam,VNM,AP,2020,36.0,104.0,8.0,1.81
1762,Vietnam,VNM,AP,2019,37.0,96.0,8.0,2.84
1763,Vietnam,VNM,AP,2018,33.0,117.0,8.0,2.84
1764,Vietnam,VNM,AP,2017,35.0,107.0,8.0,2.78
1765,Vietnam,VNM,AP,2016,33.0,113.0,8.0,2.46
1766,Vietnam,VNM,AP,2015,31.0,111.0,8.0,2.56
1767,Vietnam,VNM,AP,2014,31.0,119.0,8.0,2.55
1768,Vietnam,VNM,AP,2013,31.0,116.0,8.0,2.6
1769,Vietnam,VNM,AP,2012,31.0,123.0,8.0,2.5
